player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Drake U'u,Guard,77.0,215.0,  Schools: Hartford and Cal Poly,2012,3,94.0,19.8,4.6,2.9,1.4,0.7,0.1,1.1,35.8,21.9,60.2,39.9,,2.5
Parker U'u,Guard,76.0,220.0,  Schools: Hartford and San Diego State,2016,3,40.0,2.1,1.2,1.0,0.3,0.0,0.0,0.2,26.3,23.8,77.8,35.1,3.5,-0.1
Rashaad Ubah,Forward,78.0,198.0,UC-Irvine,2010,2,5.0,3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,,,0.0,,0.0
Ayinde Ubaka,Guard,76.0,193.0,University of California,2006,3,110.0,,10.9,2.6,3.8,0.7,0.0,,39.5,33.8,77.9,47.5,,6.9
Kem Ubaru,Forward,78.0,235.0,North Carolina-Asheville,2015,1,13.0,18.6,8.2,4.7,0.6,0.8,0.0,2.6,43.5,50.0,65.9,45.9,12.8,0.3
Brandon Ubel,Forward,82.0,234.0,Nebraska,2012,3,125.0,24.2,7.1,4.4,0.9,0.4,0.4,1.3,48.3,29.6,80.3,50.5,14.9,8.1
Edwin Ubiles,Forward,79.0,201.0,Siena,2009,3,131.0,30.9,14.8,4.3,2.1,1.2,0.7,2.1,49.7,35.3,67.2,53.0,,16.0
Manny Ubilla,Guard,74.0,188.0,Fairleigh Dickinson,2008,2,58.0,,16.2,4.6,3.8,1.6,0.3,3.8,42.4,41.5,78.5,53.7,,6.4
Joseph Uchebo,Center,82.0,245.0,  Schools: Pitt and Charlotte,2016,3,63.0,27.9,7.4,6.8,0.5,1.0,0.7,1.3,56.1,,56.0,56.1,24.4,4.2
Johnathan Uchendu,Forward,83.0,211.0,Purdue,2007,1,27.0,,1.8,1.0,0.1,0.1,0.3,,48.5,0.0,65.4,48.5,,0.6
Morris Udall,Forward,,,,1948,1,28.0,,13.2,,,,,,,,60.7,,,
Dave Udanis,Center,,,,1984,3,37.0,3.7,1.1,1.1,,0.0,0.1,0.4,31.6,,60.0,,,
Ike Udanoh,Forward,79.0,201.0,LIU-Brooklyn,2009,2,25.0,,1.4,1.9,0.1,0.3,0.4,0.6,39.5,,16.7,39.5,,0.6
Amadi Udenyi,Guard,72.0,195.0,Pepperdine,2016,3,82.0,23.7,5.5,1.9,4.0,0.9,0.0,1.7,33.3,32.5,62.3,41.4,10.9,2.8
Chinedu Udeogalanya,Guard,73.0,185.0,Hartford,2002,1,11.0,,0.7,0.5,0.1,0.0,0.0,,66.7,,0.0,66.7,,0.1
Joe Udeoji,Forward,76.0,193.0,San Jose State,2008,2,22.0,,0.6,0.9,0.1,0.1,0.0,0.5,46.2,100.0,11.1,50.0,,0.0
Ugo Udezue,Forward,81.0,206.0,Wyoming,2000,3,117.0,,7.5,4.4,0.7,0.5,0.3,,43.9,25.0,56.0,44.0,,5.0
Ndueso Udiowod,Guard,72.0,183.0,Loyola (IL),1999,1,16.0,,1.9,0.8,0.7,0.3,0.0,,38.5,28.6,66.7,46.2,,0.2
Etop Udo-Ema,Guard,76.0,193.0,UC-Irvine,1990,2,7.0,6.3,2.4,0.7,,0.1,0.1,0.6,24.0,16.7,80.0,26.0,,
Chris Udofia,Forward,78.0,200.0,Denver,2013,3,124.0,29.5,12.1,4.9,2.8,1.1,2.1,1.8,51.3,28.9,64.9,54.3,24.2,16.6
Mfon Udofia,Guard,74.0,195.0,Georgia Tech,2012,3,128.0,25.4,7.6,2.7,2.2,0.8,0.0,1.9,37.6,31.9,62.7,44.3,10.6,5.9
Ekpe Udoh,Center,82.0,208.0,  Schools: Michigan and Baylor,2010,3,103.0,35.1,8.4,6.3,1.5,0.8,3.7,2.4,47.2,28.9,64.9,48.1,,10.8
Ndueso Udoiwod,Guard,72.0,183.0,Loyola (IL),2000,1,4.0,,0.0,0.0,0.2,0.0,0.0,,0.0,0.0,,0.0,,-0.1
Udoiwod Udoiwod,Guard,71.0,180.0,Illinois,1997,1,5.0,,0.4,0.4,0.0,0.0,0.0,,33.3,,0.0,33.3,,0.0
Ndueso Udoiwood,Guard,,,,1998,1,22.0,,1.1,0.3,0.3,0.0,0.0,,50.0,25.0,90.9,53.6,,0.3
Ime Udoka,Forward,78.0,215.0,  Schools: San Francisco and Portland State,2000,2,45.0,29.3,8.5,4.8,2.0,1.6,0.5,,37.7,28.3,71.7,41.7,,1.8
Herman Uebele,Forward,77.0,196.0,Northwestern,1957,3,33.0,,,2.9,,,,,,,,,,
Bill Uecker,School: Illinois,,,,1973,1,,,,,,,,,,,,,,
Joe Uelk,6-5 (196cm) ,,,,1956,2,34.0,,1.4,1.3,,,,,25.8,,45.7,,,
Averyl Ugba,Forward,79.0,225.0,Grambling,2017,1,30.0,30.0,13.0,9.7,0.7,1.2,0.7,1.9,55.5,0.0,67.7,55.5,24.9,4.0
Jiday Ugbaja,Guard,70.0,185.0,Sacramento State,2017,3,59.0,7.9,2.5,0.9,0.6,0.3,0.0,0.6,40.8,28.9,71.2,45.2,10.1,0.7
Daddy Ugbede,Forward,78.0,216.0,Drake,2014,2,44.0,9.1,3.3,2.0,0.1,0.2,0.0,0.6,55.3,,68.3,55.3,14.2,1.0
Stephen Ugochukwu,Forward,79.0,210.0,McNeese State,2017,3,80.0,16.4,6.0,4.4,0.5,0.5,0.7,1.0,43.7,28.1,64.9,44.8,16.4,2.6
Ty Ugolyn,Forward,76.0,193.0,Columbia,1999,2,6.0,,2.2,0.8,0.0,0.3,0.0,,66.7,100.0,100.0,75.0,,0.2
John Ugrin,Forward,77.0,196.0,Arizona,1971,2,45.0,,3.6,2.4,,,,,41.4,,66.1,,,
Aher Uguak,Guard,79.0,206.0,New Mexico,2017,1,19.0,7.4,1.2,0.7,0.4,0.3,0.1,0.7,35.0,12.5,53.3,37.5,3.8,0.0
Henry Uhegwu,Guard,75.0,190.0,Southern Utah,2006,1,29.0,,13.5,3.2,1.5,1.0,0.2,,47.3,43.0,74.6,58.6,,2.9
Bill Uhl,Center,81.0,206.0,Dayton,1989,3,106.0,,5.0,3.6,0.7,0.4,0.5,,43.4,,64.3,45.8,,
Bill Uhl,7-0 (213cm) ,,,,1956,3,88.0,,18.5,14.6,,,,,44.2,,63.5,,,
Bill Uhl,Center,81.0,206.0,Ohio State,1952,1,2.0,,5.0,,,,,,66.7,,33.3,,,
Dom Uhl,Forward,80.0,195.0,Iowa,2017,3,98.0,14.2,3.9,2.9,0.8,0.3,0.3,0.8,38.5,32.6,61.1,44.8,11.7,2.8
George Uhl,Guard,73.0,185.0,UConn,1961,2,50.0,,7.8,3.7,,,,,41.5,,72.3,,,
Jack Uhlar,School: Boston College,,,,1978,1,6.0,,1.3,0.3,,,,,66.7,,,,,
Ken Uhlar,Forward,78.0,215.0,New Hampshire,2017,1,7.0,4.4,0.6,1.3,0.3,0.0,0.0,0.1,28.6,,0.0,28.6,8.2,0.0
Craig Uhle,Center,82.0,208.0,VCU,1991,2,59.0,20.0,4.9,3.9,0.5,0.3,0.2,1.2,45.7,10.0,65.1,45.9,,
Walter Uhle,Guard,69.0,175.0,Princeton,1964,1,23.0,,3.2,1.6,,,,,41.9,,70.6,,,
Reece Uhlenhopp,Forward,80.0,239.0,Drake,2012,3,62.0,9.6,1.9,1.6,0.2,0.3,0.1,0.3,37.5,38.9,84.2,47.6,9.5,1.0
Decker Uhlhorn,Forward,75.0,190.0,Penn,1969,3,67.0,,2.4,3.8,,,,,29.4,,67.0,,,
Jay Uhrin,Guard,74.0,188.0,Maine,2008,1,5.0,,1.8,0.2,0.4,0.2,0.0,0.0,66.7,100.0,,75.0,,0.1
Jeffrey Uju,Forward,79.0,220.0,Bowling Green State,2017,1,2.0,14.0,4.5,5.0,0.0,0.0,0.5,1.0,66.7,100.0,,75.0,16.0,0.1
Jermaine Ukaegbu,Forward,77.0,190.0,Sacred Heart,2016,1,21.0,6.7,1.5,1.6,0.2,0.2,0.3,0.3,53.8,0.0,36.4,53.8,13.1,0.3
Okey Ukah,Forward,79.0,220.0,Iowa,2016,3,27.0,2.6,0.5,0.6,0.0,0.1,0.1,0.1,46.2,,25.0,46.2,10.4,0.1
Quincy Ukaigwe,Forward,81.0,201.0,Chicago State,2013,3,59.0,6.8,0.8,1.5,0.1,0.3,0.1,0.5,47.8,0.0,21.1,47.8,3.3,-0.1
Ike Ukawuba,Guard,75.0,190.0,Wisconsin,2003,3,41.0,,0.4,0.2,0.1,0.0,0.0,,32.0,0.0,20.0,32.0,,-0.2
Rob Ukawuba,Guard,75.0,210.0,NJIT,2016,3,102.0,20.4,7.1,3.4,1.4,0.6,0.2,1.1,47.2,34.0,65.5,52.3,14.7,5.6
Ezenwa Ukeagu,Center,80.0,203.0,Washington State,2004,2,47.0,,5.7,4.0,0.3,0.2,0.2,,51.7,,71.5,51.7,,2.4
Bobby Ukrop,Guard,72.0,183.0,Richmond,1969,3,72.0,,6.1,2.6,,,,,42.9,,65.9,,,
David Ulak,Forward,77.0,210.0,Northwestern State,2013,2,16.0,1.8,0.1,0.4,0.1,0.1,0.1,0.1,0.0,0.0,25.0,0.0,-1.6,-0.1
Scott Ulaneo,Forward,82.0,215.0,Seattle,2017,1,30.0,15.2,4.3,3.2,0.9,0.4,0.2,1.1,45.5,26.7,49.2,49.5,10.1,0.8
Bob Ulasewicz,6-3 (190cm) ,,,,1964,3,32.0,,0.9,0.5,,,,,25.7,,85.7,,,
Dick Ulasewicz,Guard,74.0,188.0,St. Bonaventure,1968,1,13.0,,0.8,0.5,,,,,25.0,,,,,
Bill Ulbin,Guard,73.0,185.0,American,1973,2,46.0,,2.0,0.8,1.5,,,,38.4,,67.6,,,
_ Ulbin,School: American,,,,1974,1,18.0,23.7,2.5,1.7,3.9,,,,37.0,,68.8,,,
Tyler Ulis,Guard,69.0,155.0,Kentucky,2015,1,72.0,3.6,11.3,2.4,5.3,0.1,1.5,1.7,42.7,37.1,84.6,49.9,20.5,11.3
Ron Ullrich,6-1 (185cm) ,,,,1964,1,1.0,,,,,,,,,,,,,
Jim Ulm,School: Air Force,,,,1961,2,46.0,,12.8,,,,,,39.9,,78.0,,,
Robert Ulm,Guard,,,,1948,1,,,,,,,,,,,,,,
Carl Ulmer,Forward,78.0,198.0,Saint Francis (PA),2003,3,100.0,,2.0,2.1,0.5,0.2,0.0,,42.0,0.0,61.3,42.0,,1.1
Jeremy Ulmer,Forward,79.0,201.0,Florida,1992,2,22.0,,1.0,1.1,,0.1,0.1,,28.0,,61.5,28.0,,
Lamonte Ulmer,Forward,78.0,198.0,Rhode Island,2009,3,136.0,30.6,8.0,5.2,0.9,0.9,0.8,1.1,50.4,22.8,71.1,51.1,,10.4
Lowell Ulmer,Forward,77.0,230.0,St. Francis (NY),2014,3,100.0,11.4,2.6,1.9,0.5,0.5,0.2,0.7,40.6,24.1,51.4,43.5,9.8,2.1
