player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Derek Wabbington,Forward,81.0,206.0,Wyoming,2006,2,53.0,,6.4,4.2,0.8,0.6,0.4,,49.3,12.5,49.2,49.5,,2.2
Fallon Wacasey,Center,80.0,203.0,Tulsa,1992,2,37.0,6.5,1.3,1.4,0.2,0.3,0.2,0.6,34.0,0.0,65.2,34.0,,
Kenneth Wachira,Forward,79.0,195.0,Jackson State,2015,2,19.0,2.4,0.1,0.2,0.0,0.0,0.0,0.3,33.3,0.0,,33.3,-9.2,-0.1
Jason Wachob,Center,,,,1997,3,93.0,,3.1,2.1,0.7,0.3,0.3,,45.1,19.1,66.0,47.0,,
Mike Wachob,Forward,75.0,190.0,Oklahoma City,1969,3,59.0,,6.3,4.4,,,,,43.8,,72.0,,,
Stan Wacholz,Center,,,,1951,1,1.0,,,,,,,,,,,,,
Kiril Wachsmann,Forward,80.0,203.0,Iona,2005,3,120.0,,6.7,5.6,0.8,0.5,0.7,,50.3,0.0,67.9,50.3,,6.9
Andy Wachter,Guard,71.0,180.0,Wichita State,2003,1,5.0,,0.4,0.0,0.0,0.0,0.0,,50.0,,,50.0,,0.0
Bob Wachter,Guard,72.0,183.0,Missouri,1949,2,,,,,,,,,,,,,,
Richard Wackar,6-4 (193cm) ,,,,1951,1,10.0,,1.5,3.3,0.1,,,,31.3,,83.3,,,
David Wacker,Forward,82.0,238.0,Boise State,2017,3,65.0,13.1,3.6,2.8,0.3,0.1,0.3,0.6,56.4,0.0,67.3,56.4,13.8,2.7
Mike Wacker,Forward,80.0,203.0,Texas,1985,3,70.0,28.9,12.9,7.5,0.9,0.5,0.2,2.1,57.1,,71.1,,,
Bret Wackerly,Guard,70.0,178.0,Canisius,2007,2,31.0,,1.6,1.1,0.9,0.4,0.0,,28.8,17.6,71.4,33.9,,-0.1
Mark Wadach,Guard,74.0,188.0,Syracuse,1973,3,83.0,,8.0,6.4,3.0,,,,41.1,,65.7,,,
Adam Waddell,Center,82.0,235.0,Wyoming,2010,3,124.0,23.9,7.0,3.9,0.5,0.5,0.8,1.1,50.7,20.0,59.0,50.7,,7.1
Chad Waddell,Guard,73.0,190.0,Georgia Southern,2012,1,11.0,1.1,0.2,0.1,0.1,0.0,0.0,0.3,33.3,0.0,,33.3,-6.9,-0.1
Charles Waddell,School: UNC,,,,1974,2,22.0,,1.7,0.8,,,,,44.8,,73.3,,,
Devin Waddell,Guard,77.0,221.0,Auburn,2016,3,66.0,6.8,0.4,0.7,0.2,0.1,0.1,0.2,26.3,21.1,45.5,31.6,0.8,0.0
Evie Waddell,Guard,75.0,190.0,Duquesne,1985,1,9.0,29.6,6.2,2.4,6.4,1.3,0.1,3.7,40.3,,42.9,,,
Gary Waddell,Center,80.0,203.0,Florida,1973,3,72.0,,8.0,4.6,0.5,,,,46.3,,76.8,,,
Ken Waddell,Guard,76.0,193.0,Bowling Green State,1983,1,18.0,,2.1,0.9,0.3,0.1,0.0,0.6,60.0,,50.0,,,
Larry Waddell,6-2 (188cm) ,,,,1960,1,19.0,,3.1,0.6,,,,,34.2,,66.7,,,
Matt Waddell,Guard,76.0,193.0,Purdue,1994,3,127.0,25.9,9.2,2.8,3.6,1.0,0.1,1.8,45.4,40.2,82.6,51.4,,
Phil Waddell,Guard,72.0,183.0,Idaho,1969,3,75.0,,6.1,1.7,,,,,43.9,,83.3,,,
Qavotstaraj Waddell,Center,83.0,211.0,  Schools: Maryland-Eastern Shore and Chattanooga,2008,2,54.0,,3.8,4.2,0.6,0.3,0.5,0.5,54.5,0.0,40.6,54.5,,2.7
Ray Waddell,Guard,,,,2000,1,15.0,,0.8,0.5,0.3,0.1,0.0,,60.0,100.0,66.7,80.0,,0.2
Cody Waddey,Center,,,,2007,2,33.0,,0.7,0.3,0.2,0.3,0.0,,37.5,16.7,50.0,40.6,,0.1
Dan Waddleton,5-11 (180cm) ,,,,1964,3,,,,,,,,,,,,,,
George Waddleton,5-10 (178cm) ,,,,1957,3,74.0,,12.5,4.5,,,,,36.8,,66.1,,,
Austin Waddoups,Guard,74.0,160.0,Southern Utah,2015,1,16.0,8.3,1.8,0.9,0.7,0.0,0.1,0.4,37.0,43.8,40.0,50.0,6.6,0.1
Cliff Waddy,Forward,77.0,196.0,Western Carolina,1985,3,112.0,14.9,7.7,2.8,1.2,0.7,0.2,1.4,49.3,,80.7,,,
Daniel Waddy,Guard,74.0,188.0,  Schools: Saint Mary's (CA) and Colgate,2007,3,99.0,,4.4,2.2,1.5,1.1,0.5,3.6,35.1,28.2,63.5,39.9,,2.5
Aaron Wade,Forward,79.0,201.0,Sam Houston State,2006,3,116.0,,6.5,3.0,0.6,0.4,0.3,,43.6,37.5,66.5,52.0,,5.9
Arthur Wade,Guard,76.0,190.0,Alabama A&M,2016,2,40.0,17.7,3.2,1.6,0.8,0.8,0.2,0.6,36.8,29.4,62.2,45.3,8.3,1.0
B.J. Wade,Forward,,,,1998,2,52.0,27.0,9.6,4.5,1.0,0.5,0.5,1.5,39.0,36.6,71.4,46.5,,3.0
Benton Wade,Center,79.0,201.0,Mercer,1980,1,58.0,6.0,15.2,8.8,,,,,58.7,,58.2,,,
Bob Wade,Center,,,,1972,2,35.0,,5.7,4.4,,,,,42.3,,63.3,,,
Boo Wade,Guard,75.0,190.0,Wisconsin,2005,3,63.0,,5.0,2.6,2.2,0.9,0.3,,43.6,25.0,70.1,47.4,,4.6
Brent Wade,Guard,73.0,185.0,BYU,1987,2,30.0,8.3,1.6,0.7,1.2,0.3,0.0,0.7,42.1,,,,,
Butch Wade,Forward,80.0,203.0,Michigan,1985,3,121.0,24.3,5.6,5.6,0.5,0.7,0.2,1.6,46.8,,50.4,,,
Calvin Wade,Center,70.0,178.0,Western Kentucky,1975,2,49.0,,9.8,1.7,4.2,,,,45.2,,67.3,,,
Calvin Wade,Forward,77.0,196.0,Virginia Tech,1974,2,44.0,,6.6,5.8,,,,,46.6,,55.4,,,
Cameo Wade,Guard,75.0,190.0,Morris Brown,2003,1,21.0,,2.8,1.1,0.5,0.2,0.0,,32.4,15.8,46.2,34.6,,-0.4
Carlton Wade,Guard,71.0,180.0,Marist,1986,1,30.0,,7.9,1.2,2.4,1.0,0.1,,43.0,,70.8,,,
Chuck Wade,Guard,76.0,193.0,Mississippi State,1969,3,71.0,,8.4,3.0,,,,,41.5,,71.5,,,
Clyde Wade,Guard,72.0,183.0,Memphis,2006,3,54.0,,1.3,0.4,0.7,0.4,0.0,,42.9,36.8,66.7,49.1,,0.8
Collin Wade,Forward,77.0,196.0,Stephen F. Austin,1989,2,54.0,,8.6,4.4,1.6,0.7,0.1,,41.2,41.5,83.0,44.0,,
