player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Mushon Ya'akosi,Forward,80.0,203.0,Fordham,2005,3,76.0,,5.9,5.7,0.6,0.8,0.7,,51.0,0.0,43.1,51.0,,2.6
John Yablonski,Guard,70.0,178.0,Seton Hall,1996,3,56.0,,1.0,0.5,0.5,0.2,0.0,,26.8,31.0,76.2,34.8,,
Tom Yachinich,Center,79.0,201.0,Southern Miss,1971,1,26.0,,14.6,11.6,,,,,45.9,,58.5,,,
Clarence Yackey,Center,77.0,196.0,Bowling Green State,1954,2,51.0,,6.4,,,,,,39.7,,67.8,,,
Blake Yackley,Forward,77.0,196.0,South Dakota State,2007,1,29.0,,3.7,2.9,0.6,0.3,0.1,,46.3,33.3,65.2,56.1,,
Yosef Yacob,Guard,72.0,175.0,Binghamton,2017,3,87.0,24.1,7.7,1.3,1.6,0.6,0.0,2.0,35.7,33.7,73.6,45.1,8.7,1.1
Ash Yacoubou,Guard,76.0,210.0,  Schools: Villanova and Saint Louis,2015,3,121.0,28.1,6.5,3.6,1.0,0.8,0.3,2.0,40.8,30.1,59.4,46.5,11.4,3.2
Ko Yada,Guard,75.0,190.0,Harvard,2006,3,52.0,,0.8,0.4,0.5,0.1,0.0,,23.4,22.9,40.0,32.0,,-0.4
Jason Yadao,Guard,76.0,193.0,Hawaii,1997,1,6.0,,0.3,0.2,0.0,0.0,0.0,,50.0,,,50.0,,0.0
Paul Yaden,Forward,79.0,201.0,Louisville,1997,1,3.0,,0.0,1.0,0.3,0.0,0.0,,0.0,,,0.0,,0.0
Eyal Yaffe,Guard,75.0,190.0,Canisius,1986,2,34.0,5.3,1.8,0.3,0.4,0.2,0.0,0.6,43.5,,,,,
Dave Yager,Guard,72.0,183.0,UConn,1969,1,18.0,,2.1,0.8,,,,,37.8,,64.3,,,
Con Yagodzinski,Forward,77.0,196.0,Marquette,1964,1,8.0,,3.6,3.9,,,,,34.4,,36.8,,,
Bob Yahne,Forward,,,,1964,1,29.0,,8.3,3.2,,,,,48.1,,74.7,,,
Michael Yahnke,School: Texas-Rio Grande Valley,,,,2012,1,,,,,,,,,,,,,,
Scott Yahnke,Center,80.0,203.0,Morehead State,1992,1,17.0,,1.5,1.0,,0.0,0.0,,35.7,,50.0,35.7,,
Kirill Yakovlev,Forward,81.0,206.0,McNeese State,2000,2,39.0,,4.3,1.9,0.4,0.2,0.1,,36.3,36.0,62.5,46.3,,0.3
Yusef Yakubu,Forward,79.0,225.0,Prairie View,2017,1,19.0,9.9,1.1,2.1,0.1,0.2,0.2,0.6,64.3,0.0,28.6,64.3,4.9,0.2
Kassoum Yakwe,Forward,79.0,200.0,St. John's (NY),2017,2,59.0,21.8,5.5,4.2,0.6,0.4,2.2,1.2,44.2,,54.7,44.2,12.1,1.7
Bart Yam,School: American,,,,1971,1,7.0,,0.6,1.6,0.1,,,,33.3,,0.0,,,
Steve Yamin,Forward,78.0,198.0,Texas A&M,1993,1,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,,
Jeffrey Yan,Guard,69.0,160.0,Utah Valley,2017,1,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,50.0,,0.1,0.0
Bruce Yance,School: Ohio State,,,,1976,1,,,,,,,,,,,,,,
Gordon Yancey,Forward,75.0,190.0,Southeastern Louisiana,1984,1,15.0,,1.3,0.9,0.2,,,,36.8,,45.5,,,
Jake Yancey,Forward,82.0,208.0,Arkansas-Little Rock,2003,3,71.0,,5.8,4.4,0.9,0.6,1.0,,57.5,0.0,55.4,57.5,,5.6
Terry Yancey,Guard,75.0,190.0,Hardin-Simmons,1988,2,56.0,31.4,11.9,2.1,1.4,0.5,0.1,1.4,49.1,36.1,65.9,55.1,,
JIm Yanchar,Forward,77.0,196.0,Toledo,1962,1,2.0,,1.0,1.0,,,,,100.0,,,,,
Jim Yanchar,School: Toledo,,,,1961,1,5.0,,0.4,,,,,,50.0,,,,,
Taylor Yanchar,Center,83.0,211.0,Western Carolina,2004,1,5.0,,2.2,1.2,0.2,0.2,0.2,,66.7,,37.5,66.7,,0.1
Steve Yancoskie,Guard,,,,1981,2,35.0,,,0.9,2.7,,,1.8,,,,,,
Art Yancy,Forward,76.0,193.0,Oklahoma City,1970,3,64.0,,5.7,5.8,,,,,42.9,,56.1,,,
Gordon Yancy,School: Southeastern Louisiana,,,,1985,1,2.0,,,,,0.0,0.5,0.5,,,,,,
Kendal Yancy,Guard,75.0,200.0,Texas,2016,3,127.0,15.7,4.5,2.3,0.9,0.4,0.1,0.7,42.1,33.9,62.6,48.2,13.0,5.3
Levi Yancy,Forward,80.0,185.0,Northwestern State,2016,1,24.0,9.8,1.6,1.6,0.6,0.3,0.3,0.7,37.8,0.0,100.0,37.8,6.5,0.0
Kin Yanders,Guard,,,,2001,2,51.0,,4.4,2.0,0.7,0.4,0.1,,44.2,17.5,70.0,45.9,,0.7
Robert Yanders,Guard,71.0,180.0,Missouri State,2002,2,59.0,,10.4,2.8,3.1,1.0,0.0,,41.8,39.5,83.5,49.6,,4.6
Guillaume Yango,Center,81.0,206.0,Pacific,2005,2,63.0,,12.0,6.6,0.8,0.5,1.1,,58.1,,69.3,58.1,,8.3
Steve Yaniga,Forward-Guard,77.0,196.0,Lehigh,1991,3,103.0,14.1,4.9,1.9,1.3,0.5,0.1,0.9,44.4,31.8,64.6,49.8,,
Jason Yanish,Center,83.0,211.0,Oklahoma,1995,3,90.0,7.6,3.2,2.3,0.3,0.1,0.5,0.4,47.4,,62.5,47.4,,
Neil Yanke,Center,82.0,208.0,Yale,2000,3,100.0,,8.7,5.9,0.7,0.4,1.1,,43.0,0.0,62.5,43.0,,4.1
Jerry Yankee,Guard,72.0,183.0,Air Force,1965,2,27.0,,6.6,1.7,,,,,41.6,,76.9,,,
Brian Yankelevitz,Forward,80.0,203.0,Long Beach State,1997,3,71.0,,4.2,4.1,1.3,0.3,0.1,,49.8,16.7,70.8,50.0,,
Kris Yanku,Guard,76.0,183.0,Northern Arizona,2016,3,98.0,28.8,12.7,4.2,4.3,1.4,0.1,2.9,35.1,32.7,81.1,38.0,17.9,6.9
Charlie Yankus,Forward,78.0,198.0,Montana,1979,4,96.0,0.2,4.0,2.6,,0.4,0.2,0.8,50.0,,70.8,,,
Mel Yanuck,6-2 (188cm) ,,,,1953,3,56.0,,8.8,5.5,,,,,34.8,,67.9,,,
Jesse Yanutola,Forward,76.0,193.0,Clemson,2008,3,32.0,,0.4,0.5,0.1,0.1,0.0,0.1,27.8,22.2,50.0,33.3,,0.0
Kelly Yarborough,Guard,75.0,190.0,North Carolina-Greensboro,2005,1,4.0,,0.8,0.5,0.0,0.3,0.0,,100.0,,50.0,100.0,,0.0
Phil Yarborough,Guard,77.0,196.0,Wofford,2001,1,6.0,,2.5,0.8,0.2,0.2,0.0,,71.4,50.0,75.0,85.7,,0.2
Lafayette Yarbray,Forward,79.0,201.0,Utah Valley,2010,1,3.0,1.0,0.0,0.7,0.0,0.0,0.0,0.3,,,0.0,,-21.8,0.0
Larry Yarbray,Guard,72.0,183.0,Coppin State,1991,3,111.0,32.1,7.3,2.4,5.6,1.7,0.2,2.3,44.7,,65.8,45.2,,
_ Yarbray,School: Coppin State,,,,1988,1,,,,,,,,,,,,,,
Bill Yarbrough,6-0 (183cm) ,,,,1954,1,2.0,,1.0,1.0,,,,,50.0,,,,,
Billy Yarbrough,Guard,75.0,190.0,South Carolina,1964,3,68.0,,8.5,6.9,,,,,40.4,,69.0,,,
Bubba Yarbrough,Center,79.0,201.0,Middle Tennessee,1972,2,41.0,,1.8,1.5,,,,,44.4,,,,,
Cedric Yarbrough,Guard,68.0,173.0,Northwestern State,1986,1,11.0,9.5,1.1,1.0,0.9,0.5,0.0,1.9,33.3,,50.0,,,
