player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jason Iacona,Center,85.0,216,,Coppin State,2001,4,26.0,,0.5,0.2,0.0,0.0,0.0,,25.0,,55.6,25.0,,-0.1
_ Iacovino,,,,,St. Bonaventure,1948,1,,,,,,,,,,,,,,
Tom Iane,Guard,72.0,183,,Maine,1968,1,19.0,,3.1,1.6,,,,,33.3,,63.0,,,
Mike Iannarella,,,,,UNC,1964,1,3.0,,,,,,,,,,,,,
Anthony Ianni,Center,81.0,260,,Michigan State,2012,2,27.0,1.6,0.2,0.4,0.1,0.0,0.0,0.1,40.0,,50.0,40.0,8.2,0.1
Andres Iarrazabel,Forward,79.0,201,,UT-Martin,2009,2,46.0,,1.6,2.0,0.4,0.2,0.4,0.3,41.3,,50.0,41.3,,0.8
Jacob Iati,Guard,61.0,165,York Catholic,High Point and Albany (NY),2013,4,112.0,20.0,5.8,1.2,1.0,0.5,0.0,0.7,40.1,40.1,80.6,55.4,,6.2
Jon Iati,Guard,69.0,175,,Albany (NY),2007,4,129.0,,8.9,1.6,1.7,0.6,0.0,1.4,36.8,35.2,79.6,48.2,,5.2
Tony Iati,Guard,69.0,175,,Iona,1982,4,113.0,,3.2,1.0,2.6,0.5,0.0,,42.0,,65.6,,,
Marc Iavaroni,Forward,80.0,210,,Virginia,1978,4,110.0,29.7,11.3,6.5,1.0,0.6,0.4,,49.0,,68.2,,,
Fred Iavorni,Forward,,,,Santa Clara,1973,1,26.0,,13.7,10.6,2.8,,,,48.6,,49.5,,,
Gene Iba,,,,,Tulsa,1961,2,10.0,,0.4,0.4,,,,,,,100.0,,,
Moe Iba,Guard,73.0,185,,Oklahoma State,1962,3,63.0,,10.3,2.1,,,,,42.8,,84.0,,,
Skip Iba,Guard,75.0,190,,Oklahoma State,1966,3,69.0,,2.9,2.1,,,,,38.2,,55.8,,,
Ervin Ibach,Forward,61.0,180,,Miami (FL),1949,1,17.0,,2.3,,,,,,23.3,,52.4,,,
