player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bernie O' Keefe,Forward,76,193,,Duquesne,1973,1,9,,2.3,1.7,0.7,,,,41.2,,46.7,,,
Jim O'Banion,,,,,Texas State,1952,1,30,,6.5,,,,,,38.8,,50,,,
Kenny O'Banner,Guard,74,188,,Jackson State,1980,3,77,,14,3.6,,,,,45.8,,64.2,,,
Samuel O'Banner,Guard,75,190,,Bethune-Cookman,2002,1,2,,2,0.5,0,0,0,,100,,100,100,,0.1
_ O'Banner,,,,,Texas Southern,1979,1,,,,,,,,,,,,,,
Charles O'Bannon,Forward,77,209,,UCLA,1997,4,124,31.5,14.4,6.4,2.5,1.1,1,2.3,53.8,34.3,75.1,56.7,,
Ed O'Bannon,Forward,80,222,,UCLA,1993,2,117,5.8,15.5,7,1.8,0.8,2.2,2.1,51.3,39.4,73.9,54.8,,
Ed O'Bannon,Forward,80,203,,UCLA,1992,1,23,,3.6,3,0.5,0.3,0.3,,41.6,25,63,42.9,,
Jimmy O'Bannon,,,,,Texas Christian,1956,2,39,,4.8,2.1,,,,,38.8,,68.5,,,
Larry O'Bannon,Forward,76,193,,Louisville,2005,4,130,,8.8,2.4,1.5,0.7,0.2,,42.2,35.7,82.5,52,,10.7
Bob O'Billovich,Guard,69,175,,Montana,1961,2,42,,9.5,1.7,,,,,37.1,,73.7,,,
_ O'Billovich,,,,,Montana,1962,1,,,,,,,,,,,,,,
Jim O'Book,,,,,Virginia Military Institute,1981,2,,,,,,,,,,,,,,
Matt O'Boyle,Guard,77,193,Sunrise Mountain (AZ),Appalachian State,2017,2,53,9.8,2.5,1.7,0.5,0.2,0.1,0.4,36.3,30,46.9,47.2,9,0.7
_ O'Boyle,,,,,St. Francis (NY),1963,1,8,,0.6,0.4,,,,,33.3,,60,,,
John O'Brian,,,,,Loyola (IL),1957,1,23,,4.5,3.3,,,,,56.1,,52.2,,,
Al O'Brien,,,,,Tulane,1960,2,,,,,,,,,,,,,,
Bill O'Brien,,,,,Drake,1961,2,25,,2.2,1.2,,,,,28.6,,51.7,,,
Bill O'Brien,Guard,,,,Colgate,1975,2,,,,,,,,,,,,,,
Bill O'Brien,,,,,Texas A&M,1971,1,21,,1.8,0.6,,,,,41.2,,64.3,,,
Bill O'Brien,Center,80,203,,Loyola (LA),1969,4,,,,,,,,,,,,,,
Bob O'Brien,,,,,Niagara,1960,1,4,,1.5,0.2,,,,,75,,,,,
Bob O'Brien,,,,,Maryland,1957,3,74,,13.1,5.7,,,,,40.6,,71.6,,,
Brendan O'Brien,Forward,,,,Manhattan,1998,4,102,,5.7,2.8,0.6,0.4,0.8,,41,31.5,76.7,47.8,,
