player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jonathan Raab,Forward,79.0,201,,Drexel,1992,3,86.0,,13.4,7.8,1.0,0.9,0.6,,59.6,,65.3,59.6,,
Brian Raabe,Center,80.0,203,,Drexel,1990,4,106.0,,3.1,3.1,0.6,0.4,0.3,,49.8,,50.4,49.8,,
Daniel Raabe,,,,,Colgate,1961,1,17.0,,1.4,0.6,,,,,34.6,,50.0,,,
Jonathan Raabe,Forward,79.0,201,,Drexel,1989,1,25.0,,2.8,2.0,0.0,0.1,0.6,,76.3,,55.0,76.3,,
x Raabe,,,,,Colgate,1963,1,,,,,,,,,,,,,,
_ Raabe,,,,,Colgate,1962,1,,,,,,,,,,,,,,
Clayt Raaka,Forward,77.0,196,,Stanford,1965,3,73.0,,7.2,8.2,,,,,40.9,,68.3,,,
MIke Rababo,Guard,61.0,180,,Saint Mary's (CA),1977,1,10.0,,2.7,1.2,0.3,,,,42.9,,75.0,,,
Mike Rabago,,,,,Saint Mary's (CA),1976,1,18.0,,1.2,0.4,0.2,,,,43.2,,57.1,,,
Dante Rabb,Guard,,,,Montana State,1998,2,53.0,,6.7,1.3,2.4,0.6,0.1,,41.1,40.4,88.7,50.3,,2.4
Ivan Rabb,Forward,73.0,220,Bishop O'Dowd HS,University of California,2017,2,65.0,30.6,13.2,9.4,1.2,0.6,1.1,1.8,54.4,40.9,66.6,55.1,22.9,9.7
John Rabb,Forward,73.0,211,,Cleveland State,2003,2,47.0,,1.2,1.4,0.2,0.1,0.1,,52.5,50.0,51.9,53.8,,0.5
Kevin Rabbitt,Guard,73.0,185,,Rice,1995,3,81.0,,2.1,1.1,2.1,0.6,0.1,,35.3,36.0,64.8,47.0,,
Kevin Rabbitt,Guard,73.0,185,,Monmouth,1991,1,11.0,,,,,,,,,,,,,
