player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Erik Vaaler,,,,,University of California,1974,1,7.0,,3.4,2.9,,,,,64.7,,18.2,,,
_ Vaaler,,,,,University of California,1973,1,5.0,,,1.2,0.2,,,,,,,,,
Charlie Vacca,Forward,75.0,190,,South Carolina,1969,2,28.0,,2.2,1.8,,,,,45.7,,71.4,,,
Steve Vacendak,Guard,73.0,185,,Duke,1965,2,84.0,4.5,11.3,4.3,,,,,43.1,,68.2,,,
Charles Vachris,Guard,76.0,193,,Yale,1960,1,18.0,,0.9,0.5,,,,,18.8,,90.9,,,
Larry Vaculik,Center,80.0,203,,Colorado,1978,4,106.0,,10.3,6.7,1.2,0.4,0.6,,49.0,,71.9,,,
Jerome Vaden,Guard,,,,Oregon State,1998,2,57.0,,8.1,1.4,0.9,0.6,0.0,,37.1,30.6,78.5,46.6,,1.6
Robert Vaden,Guard,77.0,196,,Indiana and Alabama-Birmingham,2009,4,127.0,,15.8,4.6,2.6,1.0,0.4,2.7,40.5,38.2,80.8,51.9,,15.1
Joe Vader,Forward,,,,Kansas State,1959,1,3.0,,1.3,1.0,,,,,50.0,,,,,
Byron Vadset,Guard,,,,Washington State,1965,4,,,,,,,,,,,,,,
Tony Vaglienti,Forward,78.0,198,,Sam Houston State,1995,1,2.0,,2.0,0.0,0.5,0.0,0.5,,50.0,,,50.0,,
Jeremy Vague,Center,73.0,208,,Pepperdine and Utah State,2002,3,69.0,,5.8,3.8,0.4,0.3,0.8,,55.2,0.0,57.6,55.2,,6.1
_ Vahidiek,,,,,Rice,1948,1,,,,,,,,,,,,,,
Dennis Vail,Center,73.0,208,,William & Mary,1976,3,80.0,,6.7,4.4,,0.5,1.2,,50.7,,55.0,,,
Jack Vail,,,,,Georgetown,1953,1,,,,,,,,,,,,,,
John Vail,Forward,78.0,198,,Georgia Southern,1975,2,51.0,,13.4,6.1,,,,,48.0,,73.9,,,
_ Vail,,,,,Georgetown,1958,1,28.0,,10.9,10.0,,,,,35.9,,50.5,,,
Jack Vaile,,,,,George Washington,1955,3,39.0,,1.4,1.1,,,,,25.4,,62.5,,,
Veikko Vainio,Center,,,,BYU,1971,3,31.0,,1.0,1.3,,,,,,,57.9,,,
Arvydas Vaitiekus,Center,73.0,211,,Utah State,2007,1,19.0,,2.0,1.4,0.1,0.1,0.3,,70.4,,0.0,70.4,,0.6
Brian Vaka,Guard,74.0,188,,Santa Clara,2002,4,116.0,,4.7,2.5,1.4,0.6,0.2,,40.2,28.2,68.2,45.1,,4.4
Tim Vala,Forward,78.0,198,,Rice,1977,1,27.0,,11.4,7.1,2.5,,,,43.4,,67.1,,,
Pete Valaika,Guard,76.0,193,,Northern Illinois,1977,3,72.0,,5.4,2.3,,,,,43.4,,62.5,,,
John Valainis,,,,,Loyola (LA),1965,2,,,,,,,,,,,,,,
Pete Valalka,Guard,76.0,193,,Northern Illinois,1976,1,26.0,,14.7,3.5,,,,,45.7,,74.7,,,
Rich Valavicius,Forward,,,,Indiana,1977,2,,,,,,,,,,,,,,
Rich Valavicius,Forward,77.0,196,,Auburn,1980,2,46.0,34.4,13.2,3.9,1.5,0.5,0.3,,52.8,,74.1,,,
Mark Valderas,Forward,77.0,196,,Loyola (MD),1982,1,26.0,,5.8,2.7,,,,,42.3,,69.6,,,
Robert Valderas,,,,,San Jose State,1977,1,,,,,,,,,,,,,,
Robert Valderas,Forward,80.0,203,,St. Joseph's,1979,4,98.0,,7.3,4.1,,0.5,0.6,,45.6,,67.7,,,
Aaron Valdes,Guard,77.0,190,La Serna HS,Hawaii,2016,3,94.0,22.7,10.4,4.3,1.3,1.1,0.4,1.2,47.9,33.8,65.6,53.3,20.5,9.2
Benny Valdes,Guard,61.0,180,,Florida International,1993,2,58.0,,5.5,2.2,3.8,0.9,0.1,,39.8,38.5,67.0,48.2,,
Art Valdez,,,,,New Mexico,1955,1,6.0,,0.8,1.0,,,,,22.2,,100.0,,,
Gabriel Valdez,Guard,74.0,188,,Texas-Rio Grande Valley,1991,4,103.0,,9.2,2.0,2.6,1.0,0.1,,47.6,42.4,85.2,55.1,,
Juan Valdez,Center,73.0,211,,UTSA,2003,3,49.0,,4.1,3.7,0.7,0.3,0.7,,41.8,16.7,49.0,42.1,,1.4
Nick Valdez,Forward,79.0,201,,Texas Tech,2003,2,47.0,,4.8,3.4,2.4,1.0,0.2,,43.8,31.5,73.4,49.1,,3.3
Donald Vale,Forward,76.0,193,,Marist,2001,3,69.0,,5.1,2.9,0.5,0.6,0.5,,42.6,29.5,60.0,44.6,,2.6
Arturas Valeika,Center,81.0,206,,Weber State,2008,2,62.0,,8.9,8.3,1.1,0.7,0.8,2.1,52.8,36.5,68.7,57.2,,5.5
Florentino Valencia,Forward,77.0,196,,Toledo,2007,4,122.0,,10.5,4.1,0.6,0.6,0.3,,62.2,,65.1,62.2,,13.3
Sal Valente,Forward,,,,ETSU,1965,2,7.0,,3.7,1.7,,,,,40.0,,,,,
Phil Valenti,Forward,79.0,195,Aquinas Institute,Canisius,2017,4,125.0,26.3,10.8,5.1,1.9,0.9,0.3,1.6,47.9,35.2,75.7,52.5,18.4,9.9
Eric Valentin,Guard,64.0,143,,Green Bay,2012,2,15.0,2.9,0.7,0.2,0.3,0.2,0.0,0.3,25.0,14.3,66.7,29.2,6.7,0.0
Andre Valentine,Forward,76.0,193,,San Jose State,2002,2,42.0,,5.5,3.8,0.6,0.5,0.1,,39.9,21.8,55.2,42.9,,0.7
Anthony Valentine,Guard,73.0,185,,Northern Arizona,1989,1,16.0,,5.1,2.1,2.1,0.7,,,34.9,38.1,65.0,39.5,,
Art Valentine,Forward,79.0,201,,Maryland-Eastern Shore,2007,2,46.0,,1.1,1.2,0.2,0.2,0.1,,33.9,0.0,50.0,33.9,,-0.2
Benny Valentine,Guard,67.0,170,,Texas Tech and Eastern Washington,2010,3,77.0,20.1,9.7,1.9,2.5,1.2,0.0,2.3,38.6,34.0,70.3,46.3,,2.8
Carlton Valentine,Forward,77.0,196,,Michigan State,1988,4,107.0,,8.4,4.1,,0.4,0.2,,60.1,,67.2,,,
Craig Valentine,Guard,73.0,185,,Towson,1993,3,71.0,,2.4,1.1,1.0,0.7,0.0,,48.9,,66.2,49.2,,
Craig Valentine,Guard,73.0,185,,Towson,1990,1,24.0,,1.1,0.3,0.5,0.2,,,50.0,0.0,68.8,50.0,,
Darnell Valentine,Guard,73.0,183,,Kansas,1981,4,118.0,33.1,15.4,3.6,5.2,2.8,0.2,,47.6,,71.8,,,
Denzel Valentine,Guard,77.0,220,Sexton HS,Michigan State,2014,2,144.0,4.0,11.4,5.9,4.4,0.3,2.2,2.1,44.2,40.8,77.9,54.4,20.4,18.8
Derrick Valentine,Forward,80.0,203,,Arkansas State,1981,2,18.0,,1.2,0.7,,0.3,0.1,0.7,58.8,,,,,
Dick Valentine,Guard,73.0,185,,Oregon,1957,1,17.0,,1.7,0.9,,,,,17.0,,64.7,,,
Drew Valentine,Forward,77.0,232,Sexton,Oakland,2013,4,136.0,25.7,7.9,5.2,1.8,1.1,0.1,1.7,50.8,35.5,66.7,56.8,16.1,8.2
George Valentine,Forward,80.0,235,,Winthrop,2011,4,131.0,30.1,5.4,5.2,0.6,1.0,0.7,1.1,56.4,,50.2,56.4,,9.9
Keith Valentine,Guard,72.0,183,,UNC,1976,1,10.0,,0.9,0.2,0.4,0.1,,,40.0,,50.0,,,
Robbie Valentine,Forward,78.0,198,,Louisville,1986,4,56.0,,1.1,0.8,0.3,0.1,0.1,,44.1,,36.0,,,
Ronnie Valentine,Forward,79.0,210,,Old Dominion,1980,4,101.0,33.0,21.8,9.4,,,,,51.5,,72.6,,,
Shawn Valentine,Forward,79.0,195,The Phelps School (PA),Rider,2016,4,128.0,18.4,3.8,2.6,1.0,0.7,0.3,1.1,37.1,30.8,65.2,44.3,8.9,3.3
Sorrell Valentine,,,,,Jackson State,1997,1,18.0,,1.0,0.2,0.7,0.1,0.0,,44.4,0.0,40.0,44.4,,0.0
Steve Valentine,Guard,72.0,183,,Hartford,1988,1,5.0,,0.4,0.0,0.2,0.2,0.0,,33.3,0.0,,33.3,,
Jim Valentino,Guard,74.0,188,,Idaho,1974,2,34.0,,4.1,1.4,1.0,,,,39.0,,62.1,,,
Troy Valentino,Guard,75.0,190,,SMU,1992,4,90.0,,3.7,0.7,0.8,0.2,0.1,,37.3,33.9,75.6,46.3,,
Brett Valentyn,Guard,76.0,195,,Wisconsin,2011,4,51.0,4.3,0.6,0.3,0.2,0.0,0.0,0.1,34.5,33.3,75.0,50.0,,0.2
Luis Valera,Forward,79.0,201,,Texas-Rio Grande Valley,2010,2,60.0,23.5,7.5,4.2,0.3,0.3,0.4,1.4,50.9,0.0,65.2,50.9,,2.7
Tom Valerio,Guard,74.0,188,,Army,1976,3,62.0,,3.0,0.8,,0.9,,,33.5,,63.1,,,
Joe Vales,Guard,,,,Notre Dame,1967,3,,,,,,,,,,,,,,
Ray Vales,Guard,73.0,185,,Notre Dame,1961,3,13.0,,,,,,,,,,,,,
Willis Valet,,,,,Bradley,1951,1,4.0,,1.8,,,,,,33.3,,50.0,,,
Bob Valibus,Guard,74.0,188,,Notre Dame,1972,1,6.0,,9.0,2.0,,,,,29.4,,66.7,,,
Norbert Valis,Forward,80.0,203,,Princeton,1994,4,41.0,,1.6,1.0,,0.1,0.1,,53.2,27.3,,56.4,,
Vytautus Valiulis,Guard,73.0,185,,Citadel,2007,2,57.0,,3.8,1.6,1.8,0.9,0.0,,31.6,21.4,63.9,37.0,,-0.2
Zarko Valjarevic,Forward,76.0,210,Notre Dame Prep,Maine,2015,4,83.0,26.7,9.4,1.8,1.1,0.6,0.0,1.1,39.0,37.3,74.0,52.5,11.2,2.5
Nick Valla,Guard,74.0,186,,Missouri State,2011,1,15.0,6.1,0.7,0.2,0.3,0.1,0.0,0.4,30.0,16.7,75.0,35.0,0.0,0.0
James Valladares,Center,81.0,230,,New Hampshire,2011,4,92.0,13.3,1.8,1.4,0.2,0.1,0.3,0.3,35.0,25.4,57.1,39.6,,1.1
John Vallely,Guard,74.0,188,,UCLA,1970,2,58.0,5.3,13.8,3.5,,,,2.1,49.0,,73.5,,,
_ Vallen,,,,,Temple,1961,1,1.0,,,2.0,,,,,,,,,,
Ryan Valley,Forward,80.0,203,,Cal Poly,1997,1,2.0,,1.5,0.5,0.0,0.0,0.0,,50.0,,50.0,50.0,,0.0
David Vallins,Guard,69.0,175,,Hofstra,2009,2,9.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,,0.0,,0.0
Ralph Vallot,Forward,78.0,198,,Loyola (IL),1976,2,51.0,,20.1,9.0,,,,,47.8,,65.4,,,
Ralph Vallot,Forward,77.0,196,,Saint Louis,1973,1,8.0,,4.6,2.1,0.1,,,,35.6,,100.0,,,
Travis Valmon,Guard,73.0,175,Gerogetown Preparatory School,Maryland,2017,1,5.0,1.6,0.4,0.4,0.0,0.2,0.0,0.4,0.0,,100.0,0.0,5.4,0.0
John Valore,,,,,West Chester,1966,1,13.0,,3.8,3.7,,,,,42.9,,47.1,,,
Corey Valsin,Guard,77.0,196,,Texas Christian,2005,4,103.0,,4.6,3.7,1.0,0.5,0.1,,40.6,22.7,60.5,43.1,,1.9
Jim Valvano,Guard,72.0,183,,Rutgers,1967,3,74.0,,15.2,3.7,,,,,50.7,,75.2,,,
Derrick Van,Guard,75.0,190,,Chicago State,1992,2,31.0,,11.8,2.3,1.4,0.5,0.1,,39.1,36.1,69.6,51.6,,
Jacob Van,Guard,74.0,185,Mansfield Lake Ridge HS,Air Force,2017,3,68.0,20.0,7.7,1.7,1.8,0.5,0.0,1.3,45.2,40.2,81.4,52.3,15.1,3.1
Josh Van,Guard,73.0,185,,New Mexico State,2004,1,5.0,,0.4,0.6,0.2,0.0,0.0,,0.0,0.0,50.0,0.0,,0.0
Marc Van,Center,73.0,211,,Colorado,2007,1,9.0,,0.3,1.0,0.3,0.2,0.0,,0.0,,75.0,0.0,,-0.1
Marcus Van,Forward,79.0,201,,Central Michigan,2009,2,56.0,,9.1,6.7,0.2,0.5,1.3,1.3,52.0,,57.3,52.0,,5.2
Ronnie Van,Guard,74.0,188,,Morgan State,1999,1,26.0,,6.0,1.4,0.6,0.4,0.0,,38.7,34.6,66.7,44.5,,0.3
Sean Van,Guard,,,,San Francisco,2000,2,19.0,,0.8,0.4,0.2,0.1,0.1,,33.3,60.0,87.5,50.0,,0.2
Tim Van,Center,73.0,208,,Northwestern State,2004,2,40.0,,3.5,2.6,0.7,0.4,0.8,,46.6,0.0,56.3,46.6,,1.2
Byron Van Alstyne,Guard,72.0,183,,USC,1951,1,22.0,,3.7,,,,,,30.8,,72.7,,,
James Van Antwerp,Forward,,,,Iowa,1950,1,3.0,,2.3,,,,,,16.7,,25.0,,,
Mark Van Antwerp,Center,79.0,201,,Seattle,1972,3,51.0,,3.3,2.7,,,,,42.8,,,,,
Steve Van Antwerp,Guard,,,,Tennessee,1961,1,6.0,,0.7,0.7,,,,,25.0,,,,,
Dick Van Arsdale,Forward,77.0,196,,Indiana,1965,3,72.0,,17.2,10.0,,,,,44.2,,79.4,,,
Tom Van Arsdale,Forward,77.0,196,,Indiana,1965,3,72.0,,17.4,10.0,,,,,44.8,,65.1,,,
Keith Van Auken,Forward,78.0,198,,Lafayette,1992,4,75.0,,3.6,3.3,,0.6,0.2,,49.5,,,,,
T.J. Van Auken,,,,,Mercer,1996,1,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
Raymond Van Beveren,Forward,79.0,201,,SMU,1994,4,,,,,,0.4,0.2,,,,,,,
Dale Van Bibber,Center,,,,Centenary (LA),1962,3,66.0,,11.1,,,,,,43.4,,63.9,,,
Tim van Blommesteyn,Forward,75.0,190,,Princeton,1975,2,54.0,,8.6,2.4,1.3,2.4,0.2,,50.0,,72.3,,,
Tim Van Blommesteyn,Guard,75.0,190,,Princeton,1973,1,21.0,,4.5,1.1,,,,,41.1,,76.2,,,
Jan Van Breda Kolff,,,,,Vanderbilt,1973,2,80.0,3.3,9.2,7.0,5.4,,,2.3,41.9,,79.1,,,
Luuk van Bree,Forward,81.0,208,Canarias Basketball Academy (Spain),Bradley,2017,2,63.0,23.3,7.4,4.0,0.9,0.7,0.4,1.5,39.0,34.6,64.9,48.8,10.4,2.1
Brody Van Brocklin,Guard,74.0,188,,Weber State,2008,2,62.0,,4.3,2.0,1.8,0.9,0.1,1.0,39.8,39.7,75.0,53.9,,2.2
