player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Marvin Zaandam,Forward,80.0,203,,James Madison,1999,3,15.0,,0.3,0.3,0.1,0.0,0.1,,16.7,20.0,50.0,25.0,,0.0
Kevin Zabo,Guard,74.0,185,Brewster Academy (NH),San Diego State and Kent State,2017,2,52.0,18.1,4.7,1.2,1.3,0.6,0.0,1.2,36.2,31.8,69.8,43.7,8.3,1.4
Dan Zachary,Guard,,,,Western Michigan,1986,2,53.0,,6.5,2.2,4.7,1.1,0.1,,44.6,,79.7,,,
Danny Zachary,Guard,61.0,180,,Ole Miss,1983,1,10.0,,0.5,0.3,0.4,,,,33.3,,50.0,,,
Michael Zachary,Guard,75.0,190,,South Carolina State,2003,2,17.0,,0.5,0.4,0.2,0.0,0.1,,36.4,50.0,,40.9,,0.0
Randy Zachary,Guard,61.0,178,,Ball State,1997,4,115.0,,7.8,1.7,3.0,0.8,0.0,,41.2,41.8,74.9,53.1,,
Richard Zacher,Guard,76.0,193,,Loyola Marymount,1983,1,1.0,,2.0,1.0,,,,,100.0,,,,,
Nick Zachery,Guard,75.0,190,,Arkansas-Little Rock,2004,4,83.0,,13.9,2.7,2.6,1.4,0.1,,41.8,41.0,77.2,54.7,,8.5
Scott Zack,Forward,79.0,201,,Ohio State,1995,1,11.0,,1.0,1.3,0.3,0.0,0.5,,44.4,,75.0,44.4,,
Steve Zack,Center,73.0,245,Red Land,La Salle,2015,4,123.0,23.4,6.3,6.9,1.1,0.4,1.4,1.4,47.0,12.5,67.9,47.1,16.3,8.3
Bill Zadel,Forward,76.0,193,,Army,1964,2,19.0,,2.7,3.7,,,,,40.0,,50.0,,,
Manny Zafires,Guard,61.0,180,,Wichita State,1963,1,2.0,,1.0,,,,,,100.0,,,,,
Manny Zafiros,Guard,61.0,180,,Wichita State,1965,1,4.0,,,,0.5,,,,,,,,,
Petrolsav Zafirov,Forward,80.0,203,,Tennessee State,2006,1,27.0,,1.2,0.6,0.2,0.1,0.0,,27.1,17.1,20.0,33.3,,-0.3
Todd Zafirovski,Forward,81.0,245,Lake Forest Academy,Duke,2014,4,20.0,2.1,0.2,0.3,0.1,0.1,0.1,0.1,28.6,,25.0,28.6,3.5,0.0
Bill Zagar,,,,,Minnesota,1977,2,8.0,,,0.5,,,,,,,,,,
Mike Zagardo,Center,73.0,208,,George Washington,1980,4,105.0,,13.5,7.8,,0.6,0.7,,59.0,,75.1,,,
Ron Zager,Guard,,,,Iowa,1961,3,,,,,,,,,,,,,,
Chuck Zagozdon,Guard,74.0,188,,DePaul,1970,2,24.0,,1.0,0.5,,,,,42.9,,42.9,,,
Kyle Zaharias,Center,81.0,206,,Radford,2004,3,81.0,,2.9,3.2,0.2,0.3,0.6,,44.8,,51.1,44.8,,2.1
Nick Zaharias,Forward,79.0,201,,Gonzaga,1987,3,61.0,,1.6,1.0,0.2,0.1,0.1,,45.9,,81.6,,,
Adam Zahn,Forward,80.0,203,,Oregon,2007,4,101.0,,2.5,2.0,0.2,0.2,0.1,,44.4,33.3,57.5,45.1,,1.5
Alan Zahn,Forward,79.0,201,,Arkansas,1980,4,101.0,22.6,5.5,3.7,,0.7,0.4,1.8,45.5,,72.8,,,
Andrew Zahn,Forward,81.0,206,,Arizona,2002,1,16.0,,0.9,0.9,0.1,0.0,0.1,,66.7,50.0,50.0,72.2,,0.2
Andrew Zahora,Forward,79.0,201,,Western Illinois,2009,1,3.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,,0.0,,-0.1
Bob Zaiac,,,,,Penn,1961,1,19.0,,0.9,0.8,,,,,30.8,,16.7,,,
Bob Zajac,,,,,Penn,1962,2,24.0,,1.8,1.1,,,,,32.5,,59.3,,,
Craig Zajac,,,,,St. Bonaventure,1993,1,3.0,,0.0,,0.0,0.0,0.0,,,,,,,
Ed Zajac,Center,73.0,208,,Quinnipiac,2009,2,43.0,,3.0,3.5,0.1,0.3,0.4,0.8,46.3,,58.8,46.3,,1.3
Jon Zajac,Forward,,,,Buffalo and Eastern Michigan,1998,4,117.0,,6.2,4.7,1.0,0.8,0.4,,45.3,21.3,53.7,46.1,,
Richie Zajac,Forward,76.0,193,,Lehigh,1977,4,,,,,,,,,,,,,,
Bob Zak,Forward,78.0,198,,Maine,1975,1,14.0,,3.8,1.6,,,,,55.8,,62.5,,,
Dave Zak,Forward,74.0,188,,Kent State,1962,2,19.0,,1.1,1.6,,,,,22.7,,42.9,,,
Jim Zak,Forward,76.0,193,,Bowling Green State,1961,2,41.0,,2.0,2.0,,,,,33.3,,59.5,,,
Mike Zak,Guard,,,,Georgia State,1998,1,27.0,,5.7,1.4,0.8,0.3,0.0,,34.0,29.3,63.3,41.5,,0.2
Ted Zak,,,,,Kent State,1966,1,19.0,,3.5,5.0,,,,,46.9,,51.3,,,
_ Zak,,,,,Kent State,1965,1,,,,,,,,,,,,,,
_ Zak,,,,,Kent State,1964,1,,,,,,,,,,,,,,
John Zakariassen,,,,,Oklahoma State,1976,1,1.0,,,1.0,,,,,,,,,,
Mike Zaklan,Guard,,,,Idaho State,1964,3,59.0,,4.1,1.9,,,,,42.1,,73.0,,,
Casey Zakowski,,,,,Green Bay,1982,1,11.0,,3.5,1.4,0.5,,,,39.5,,55.6,,,
Steve Zakula,Forward,74.0,188,,Harvard,1970,2,17.0,,1.6,0.9,,,,,36.8,,66.7,,,
Matt Zalauskas,Center,81.0,206,,Maine,1983,1,22.0,,2.0,1.4,0.2,0.2,0.1,,39.0,,41.4,,,
Jim Zalenka,Forward,79.0,201,,Ohio,1981,4,97.0,,5.5,3.1,0.6,0.5,0.2,,41.8,,66.2,,,
Matt Zaleski,Guard,73.0,185,,Rider,1991,4,94.0,,6.9,1.7,1.3,1.1,0.2,,39.6,34.6,63.2,48.0,,
Bob Zaletal,,,,,Kent State,1961,1,3.0,,1.3,0.3,,,,,100.0,,,,,
Bob Zaletel,Guard,74.0,188,,Kent State,1962,1,13.0,,1.7,1.0,,,,,38.1,,60.0,,,
